"log_wage_homo","education","experience","experience_sq","north","northeast","south","centerwest","male","white","log_wage_predito"
7.74995825267968,5,5,25,0,1,0,0,1,0,7.70046352137785
8.28917196383094,10,7,49,0,1,0,0,0,0,8.15149178378993
9.08608223029044,13,13,169,0,0,0,0,1,1,9.30070420936157
8.14694941956477,4,34,1156,1,0,0,0,0,0,7.75146608890713
9.67259025943219,11,22,484,0,0,0,0,1,1,9.18873623639413
8.76360750730334,11,25,625,1,0,0,0,0,1,8.80726979708808
7.978174131149,7,14,196,0,1,0,0,0,1,8.12041501921444
8.53935607673134,8,1,1,0,0,0,0,0,1,8.09239563305648
8.87403630478496,8,22,484,0,0,0,0,1,1,8.8012689874976
8.23207761938678,6,13,169,0,0,0,1,0,1,8.19234882475301
8.11755509323824,8,18,324,0,1,0,0,1,0,8.37267452723371
8.32300340492739,6,25,625,0,1,0,0,1,1,8.39833534455589
9.2610523011834,7,22,484,0,0,0,0,1,0,8.47562978477808
8.51776842715433,10,0,0,1,0,0,0,1,0,8.20646150861361
8.07799705060207,13,0,0,0,1,0,0,0,1,8.52945116598179
8.08442899677517,9,32,1024,1,0,0,0,0,0,8.39387941967724
7.71067249407326,8,4,16,0,0,0,1,1,0,8.28055586428134
7.92796388016208,6,5,25,0,0,0,1,1,0,8.05073120073099
7.99327009868583,7,4,16,0,1,0,0,1,1,8.12677163801554
9.86101778551062,18,9,81,0,0,0,0,0,1,9.60808583235073
8.85481739943876,10,8,64,1,0,0,0,1,0,8.43811817706503
8.23121042421156,8,8,64,0,0,0,0,0,0,8.09532002996711
8.27699179786631,8,5,25,0,1,0,0,1,1,8.28441422336171
8.6088643691486,11,29,841,0,0,1,0,0,1,9.11556126158565
8.43033879011712,7,25,625,0,0,0,0,0,1,8.455062820848
7.34919224469666,4,22,484,0,1,0,0,0,0,7.66278546897726
8.65107567393861,12,9,81,0,0,0,0,0,1,8.83315133455769
8.31343096285487,6,10,100,0,0,0,0,0,1,8.08200119405432
8.79223284328971,9,10,100,0,0,0,0,1,0,8.52188765998568
8.69370532661645,6,15,225,0,1,0,0,1,0,8.06276036548247
9.351855400197,13,10,100,0,0,0,1,0,1,9.03072897441839
8.85198496549972,8,29,841,0,0,1,0,1,1,8.97699668281131
8.29714919336444,7,5,25,0,0,0,1,0,0,7.93098428024098
9.00392871881022,8,17,289,0,0,0,0,1,1,8.7293719852924
7.7109360595672,4,22,484,0,0,0,0,0,0,7.83925986575937
8.50181841720837,5,15,225,0,0,0,0,1,1,8.30656246571976
8.11418997762277,4,40,1600,0,0,0,0,0,0,7.90340646693129
7.02120687351421,5,13,169,0,1,0,0,0,0,7.64559769231253
7.83110284496212,8,1,1,0,0,0,0,0,1,8.09239563305648
7.79060565042899,8,7,49,0,1,0,0,0,0,7.89318028452558
9.09869305295417,15,25,625,0,0,1,0,0,1,9.6028815288961
8.12945302466593,6,28,784,0,0,0,0,1,1,8.59819753327899
8.58849203690133,7,11,121,0,1,0,0,1,1,8.30642907863137
7.24767203247514,9,0,0,0,0,0,0,1,0,8.24172178127005
8.56396024470274,6,29,841,0,0,0,0,1,0,8.40762901946891
8.34082852921433,6,16,256,1,0,0,0,0,1,8.04054090612162
8.24246988885625,6,14,196,0,0,0,0,0,1,8.16773366636439
7.56247949432043,5,5,25,0,1,0,0,1,0,7.70046352137785
8.59461987064679,8,15,225,1,0,0,0,1,0,8.33313023924032
8.85746057907374,8,19,361,0,0,0,0,1,0,8.56446882014173
8.26154126826084,4,26,676,0,1,0,0,0,1,7.89985760150121
7.52709445639883,7,17,289,1,0,0,0,0,0,7.99041409016208
7.88017181253901,6,18,324,0,1,0,0,1,1,8.31084648105671
8.59978200454247,6,28,784,0,0,0,0,1,1,8.59819753327899
8.42074764992782,9,8,64,0,1,0,0,0,1,8.24448483590451
8.30128235976716,11,8,64,0,1,0,0,0,0,8.30631288208151
8.81489071033397,15,10,100,1,0,0,0,0,0,8.88350346536793
7.96663693723467,7,16,256,0,0,0,0,0,0,8.13762922495507
8.97508224477348,15,17,289,0,1,0,0,1,0,9.26050438284816
8.65543247401438,5,16,256,0,0,0,0,1,1,8.32470384890025
9.98473865489264,12,30,900,0,1,0,0,1,1,9.20754701715958
9.69622341946193,18,15,225,0,0,0,0,1,0,9.78910375785068
8.71618245893552,9,19,361,0,1,0,0,0,1,8.46473095595695
8.6003753588201,7,18,324,0,1,0,0,1,0,8.24351877760154
8.61914843959693,9,15,225,0,0,0,0,1,0,8.62670201116111
10.1216470230492,16,22,484,0,0,0,0,1,1,9.834514984555
8.23288870143869,6,15,225,0,0,0,0,1,1,8.43571821535193
9.71619400917613,14,33,1089,0,0,1,0,0,1,9.5172833107426
8.93161163422981,14,8,64,0,0,0,0,0,1,9.0667379808475
8.58704500031122,11,21,441,0,0,0,0,1,1,9.17623782732282
8.35967457150251,10,26,676,1,0,0,0,1,0,8.7392696908226
7.95231497559743,8,9,81,1,0,0,0,0,1,8.15211231374037
8.62514914425259,8,10,100,0,0,0,0,0,0,8.14382924023132
9.90360085071657,12,22,484,0,0,1,0,1,1,9.43246469701701
9.65655469021184,17,14,196,0,0,0,0,0,1,9.58844691231831
8.87339764852343,9,7,49,0,0,1,0,1,1,8.75876926514012
7.7134733288602,5,28,784,0,0,0,0,0,0,8.02365566043728
7.01707318161872,7,1,1,0,0,0,0,0,0,7.76675643033696
8.64444881791722,10,12,144,0,0,0,0,1,0,8.69579063714262
8.27919376056949,8,17,289,0,0,0,0,0,0,8.28398586208287
7.98658585893679,9,0,0,0,0,1,0,0,0,8.10739182213857
8.33377080644851,9,22,484,0,0,0,0,0,1,8.68152206700759
7.30536983107294,5,22,484,0,1,0,0,0,0,7.79194121860943
8.52324991412889,9,20,400,0,0,0,0,0,1,8.6555847531801
9.32622132362534,12,7,49,0,0,1,0,1,0,8.94975306094929
9.3461328498292,12,26,676,0,1,0,0,0,0,8.73662014547126
8.47313188841055,11,21,441,0,0,0,0,0,0,8.73085170411328
9.02333362980349,8,21,441,0,0,0,0,1,1,8.78877057842629
9.01339221500245,9,31,961,0,0,0,0,0,0,8.55520198974319
7.7173376281572,5,13,169,0,0,1,0,0,1,8.1331282531727
9.11039183002615,9,32,1024,0,0,1,0,1,1,9.1182542761661
8.82184901872824,10,12,144,0,0,0,1,1,0,8.74042817008147
9.75296935497873,15,24,576,0,0,0,0,1,0,9.53105111292351
9.52024592971866,13,20,400,0,1,0,0,1,0,9.04815257196153
7.57199411135822,8,14,196,1,0,0,0,0,0,8.06514569025277
